aluno_id,corte,probabilidade,faixa,situacao,fase_atual,recencia_dias,eventos_7d,eventos_14d,eventos_28d,dias_ativos_7d,dias_ativos_28d,tendencia,capitulo_max_fase_atual,pct_capitulos_fase_atual,progresso_28d,capitulos_distintos_28d,quiz_iniciados_28d,quiz_entregues_28d,entregas_28d,semanas_ativas_ultimas_8,share_noite_28d,share_fim_semana_28d,eventos_acumulados,dias_ativos_acumulados,semanas_desde_primeiro_evento,primeiro_evento,ultimo_evento,fator_1,fator_2,fator_3,fatores,acao_sugerida
Aluno 0121,2026-08-23,0.9522,Alto,Inativo >60d,3,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,7,20,2026-04-02,2026-04-28,117 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 10 da Fase 3,117 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 10 da Fase 3,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0165,2026-08-23,0.9521,Alto,Inativo >60d,3,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,13,27,2026-02-13,2026-04-23,122 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 10 da Fase 3,122 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 10 da Fase 3,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0233,2026-08-23,0.9462,Alto,Ativo (28d),5,9,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,2026-08-14,2026-08-14,9 dias sem acesso,parado no capítulo 3 de 8 da Fase 5,apenas 1 dia(s) ativo(s) no último mês,9 dias sem acesso | parado no capítulo 3 de 8 da Fase 5 | apenas 1 dia(s) ativo(s) no último mês,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 3 de 8 da Fase 5)
Aluno 0076,2026-08-23,0.9393,Alto,Inativo >60d,4,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,20,25,2026-02-25,2026-05-12,103 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 11 da Fase 4,103 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 11 da Fase 4,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0236,2026-08-23,0.9391,Alto,Ativo (28d),5,16,0.0,0.0,19.0,0.0,1.0,0.0,7.0,0.875,7.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,19,1,2,2026-08-07,2026-08-07,16 dias sem acesso,queda de 100% nos acessos da semana vs. média do mês,nenhum acesso nas últimas 2 semanas,16 dias sem acesso | queda de 100% nos acessos da semana vs. média do mês | nenhum acesso nas últimas 2 semanas,Contato ativo do tutor em 48h (telefone/WhatsApp) com plano de retomada de 2 semanas
Aluno 0161,2026-08-23,0.932,Alto,Inativo >60d,3,89,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959,11,25,2026-02-25,2026-05-26,89 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,ativo em apenas 0 das últimas 8 semanas,89 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | ativo em apenas 0 das últimas 8 semanas,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0237,2026-08-23,0.9263,Alto,Ativo (28d),5,16,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2,2026-08-07,2026-08-07,16 dias sem acesso,nenhum acesso nas últimas 2 semanas,parado no capítulo 0 de 8 da Fase 5,16 dias sem acesso | nenhum acesso nas últimas 2 semanas | parado no capítulo 0 de 8 da Fase 5,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 0 de 8 da Fase 5)
Aluno 0020,2026-08-23,0.9181,Alto,Ativo (28d),3,16,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,1,2,2026-08-07,2026-08-07,16 dias sem acesso,queda de 100% nos acessos da semana vs. média do mês,nenhum acesso nas últimas 2 semanas,16 dias sem acesso | queda de 100% nos acessos da semana vs. média do mês | nenhum acesso nas últimas 2 semanas,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 0 de 10 da Fase 3)
Aluno 0148,2026-08-23,0.917,Alto,Inativo >60d,4,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284,9,23,2026-03-09,2026-06-08,76 dias sem acesso (inativo há mais de 2 meses),nenhum acesso nos últimos 28 dias,parado no capítulo 0 de 11 da Fase 4,76 dias sem acesso (inativo há mais de 2 meses) | nenhum acesso nos últimos 28 dias | parado no capítulo 0 de 11 da Fase 4,Contato de resgate pela coordenação (telefone) e oferta de plano de retomada/trancamento assistido
Aluno 0205,2026-08-23,0.9158,Alto,Ativo (28d),4,17,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,2,2026-08-06,2026-08-06,17 dias sem acesso,nenhum acesso nas últimas 2 semanas,parado no capítulo 0 de 11 da Fase 4,17 dias sem acesso | nenhum acesso nas últimas 2 semanas | parado no capítulo 0 de 11 da Fase 4,Contato do tutor em 48h + monitoria/microaula do capítulo em que parou (parado no capítulo 0 de 11 da Fase 4)
